vendor,is_digital,agencies,description,transaction_count,fy2016_spending,fy2017_spending,fy2018_spending,fy2019_spending,fy2020_spending,fy2021_spending,fy2022_spending,fy2023_spending,fy2024_spending,fy2025_spending,budget_codes_fy25,expense_categories_fy25,pct_confirmed_digital_fy25
CPI USA Inc,Digital,Campaign Finance Board; Department of Citywide Administrative Services; Department of Design and Construction; Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Social Services; Independent Budget Office,"IT managed services, consulting, staff augmentation, cybersecurity, Microsoft Cloud",16,0,121619,311102,248840,561890,876412,538292,579022,786945,722313,"1300 (44%, NYC CYBER COMMAND); MSME (22%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 3131 (6%, APPLICATIONS); 1004 (5%, TECHNOLOGY); 2000 (3%, OTHER THAN PERSONAL SERVICE); 0232 (3%, BWS RESERVOIR OPERATIONS); 0259 (3%, BWS WATER TREATMENT OPS); 1150 (3%, INFORMATION TECHNOLOGY); 4918 (2%, DAYCARE INSPECTION); 3850 (2%, CHIEF TECHNOLOGY OFFICER)",PROF SERV COMPUTER SERVICES (46%); CAPITAL PURCHASED EQUIPMENT (22%); PURCH DATA PROCESSING EQUIPT (14%); PROF SERV OTHER (9%); DATA PROCESSING SUPPLIES (4%); EQUIPMENT GENERAL (3%); OTHR SERV AND CHRGS-GENERAL (2%); TELECOMMUNICATIONS EQUIPMENT (0%),46.0
COMPUTER CORP OF AMERICA,Digital,Department of Information Technology and Telecommunications,"Database software and IT services, likely Data Computer Corp of America (DCCA) - government IT contractor",1,546096,562129,579353,596734,657835,718903,718903,754848,754848,0,,,
Collabera Inc,Digital,Department of Information Technology and Telecommunications,"IT staffing and digital talent solutions, minority-owned, SAM registered government contractor",11,0,0,0,0,0,1014798,2446513,2976854,731008,0,,,
INVISION SOURCE LLC,Digital,Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications,"MWBE IT consulting: AI strategy, cloud, cybersecurity, Fractional CTO, IT staffing, vendor-agnostic",1,0,0,0,0,0,0,0,6230,661500,225938,"0391 (98%, ADMINISTRATION SUPPORT); 3157 (2%, UNIVERSAL HOME VISITING)",PROF SERV OTHER (98%); DATA PROCESSING SUPPLIES (2%),0.0
PROTEK INFORMATION TECHNOLOGY SERVICES LLC,Digital,Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications,"Woman-owned IT consulting: cybersecurity, software dev, data analytics, DevSecOps for government",5,0,0,0,0,31848,565301,2092964,763556,635424,913977,"1300 (83%, NYC CYBER COMMAND); PAM2 (17%, OTI PRIVILEGED ACCESS MGMT (PAM) PHASE 2); 1150 (0%, INFORMATION TECHNOLOGY)",PROF SERV COMPUTER SERVICES (83%); CAPITAL ONLY FUNDED SBITA (17%); CONTRACTUAL SERVICES GENERAL (0%),100.0
Collabera LLC,Digital,Department of Information Technology and Telecommunications,IT staffing and digital talent solutions (same company as Collabera Inc),42,0,0,0,0,0,0,0,0,627806,416765,,,
RAJ TECHNOLOGIES INC,Digital,Department of Education; Department of Information Technology and Telecommunications; SCHOOL CONSTRUCTION AUTHORITY,"MBE IT consulting: app dev, systems integration, web solutions, cybersecurity since 1986",6,0,0,0,0,24485,0,219380,319582,595612,1201720,"7719 (36%, DIIT); E706 (29%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); MSME (22%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 1300 (8%, NYC CYBER COMMAND); 1108 (5%, GENERAL EDUCATION BUSES)",PROF SERV COMPUTER SERVICES (43%); CONSTRUCTION-BUILDINGS (29%); CAPITAL PURCHASED EQUIPMENT (22%); PROF SERV OTHER (5%),43.0
KFORCE INC,Digital,Department of Information Technology and Telecommunications,IT staffing firm specializing in technology talent and digital transformation solutions,3,0,0,0,0,0,3248092,1275731,909612,586920,19512,"0711 (100%, PUBLIC SAFETY IT SERVICES)",PROF SERV OTHER (100%),0.0
MKI GROUP LLC,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,"DBA IS3 Solutions - IT staffing and services, MBE certified federal vendor",5,0,0,0,0,0,36960,191796,593990,508610,578247,"MSME (36%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 1300 (34%, NYC CYBER COMMAND); NGEN (26%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 0711 (5%, PUBLIC SAFETY IT SERVICES)",CAPITAL PURCHASED EQUIPMENT (61%); PROF SERV COMPUTER SERVICES (34%); CONTRACTUAL SERVICES GENERAL (5%),34.0
"LEVI, RAY & SHOUP, INC.",Digital,Department of Information Technology and Telecommunications; Department of Social Services; Financial Information Services Agency,"IBM Premier Business Partner, GSA contract holder",5,488659,519328,338871,419412,335418,379577,306654,575246,504748,340841,"3200 (25%, IU - MAINFRAME); 0101 (23%, INTERNAL AUDIT); 9912 (21%, MANAGEMENT INFORMATION SYSTEMS); 3204 (19%, IU MAINFRAME - I/C); 2000 (12%, NYCAPS)",DATA PROCESSING EQUIPMENT MAINTENANCE (100%),0.0
"GANDIVA NETWORKS, INC.",Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,Network architect and cybersecurity services for NYC DoITT,3,0,0,0,0,0,0,34900,544103,495800,366958,"NGEN (97%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); FDT1 (3%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT)",CAPITAL PURCHASED EQUIPMENT (100%),0.0
ISLAND COMPUTER PRODUCTS INC ICP INC,Digital,Department of Finance,"MWBE IT services: systems integration, network/infrastructure services, e-business solutions. Related entry: ISLAND COMPUTER PRODUCTS INC (Mixed)",26,183535,358928,338183,790199,2911460,1694263,2613000,1890124,489144,381154,,,
USTRONICS.COM INC,Mixed,Department of Information Technology and Telecommunications; Mayoralty,"IT and satellite communications for government, mGov/mHealth apps, VSAT solutions",2,115500,117569,170644,141737,214796,179345,205526,177497,438204,265736,"5200 (66%, TELECOM SERVICES - I/C); 0711 (22%, PUBLIC SAFETY IT SERVICES); 3510 (8%, TELECOM OPERATION); 8101 (3%, CITY HALL EMERGENCY COMMUNICATIONS); 5205 (0%, TELECOM SERVICES - OC GRANT); 0406 (0%, OTPS-OMB); 9010 (0%, NYC TV)",TELEPHONE & OTHER COMMUNICATNS (100%); TELECOMMUNICATIONS EQUIPMENT (0%),0.0
"Celeritas Solutions, LLC",Digital,Department for the Aging; Department of Emergency Management; Department of Finance,"Digital agency: eLearning, apps, websites, video production",6,0,69000,200900,177790,325310,166063,113646,284336,405425,150140,"0101 (75%, ADMINISTRATION); 2995 (17%, 23 UASI T&E); 0501 (8%, PAYROLL & CITY LEASE)",TRAINING PRGM CITY EMPLOYEES (75%); CONTRACTUAL SERVICES GENERAL (25%),0.0
PRECISELY SOFTWARE INCORPORATED,Digital,Department of Consumer & Worker Protection; Department of Environmental Protection; Department of Finance; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Social Services; Financial Information Services Agency,"Data integrity software for government, FedRAMP certified, geospatial and data quality solutions",8,0,0,0,0,0,0,38087,415598,382800,501859,"3200 (38%, IU - MAINFRAME); 1801 (14%, INFORMATION TECHNOLOGY); 0114 (13%, STARS); 9912 (6%, MANAGEMENT INFORMATION SYSTEMS); 9195 (6%, VITAL STATISTICS); 0101 (5%, INTERNAL AUDIT); 4120 (5%, FOOD SAFETY); CR14 (4%, ARP - EH OTPS); 0525 (3%, UNIVERSAL METERING OTPS); 2803 (3%, INFORMATION TECHNOLOGY)",DATA PROCESSING EQUIPMENT MAINTENANCE (50%); DATA PROCESSING SUPPLIES (17%); CONTRACTUAL SERVICES GENERAL (14%); MAINT & REP GENERAL (11%); OTHR SERV AND CHRGS-GENERAL (6%); BOOKS-OTHER (3%),0.0
AZH CONSTRUCTION & CONSULTING CORP,Digital,Department of Environmental Protection; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications,"DBE/MBE/WBE IT consulting, software development, AI/Quantum/Blockchain products",3,13250,5250,24876,46843,60290,216874,89817,340211,381801,262364,"1044 (63%, ADMINISTRATIVE SERVICES); FDT1 (12%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); 0296 (12%, W/S UPSTATE POLICE); 2150 (11%, HIV SURVEILLANCE & RESEARCH); 0244 (1%, HEAVY CONSTRUCTION); 2118 (0%, COMMUNICABLE DISEASES)",TRAINING PRGM CITY EMPLOYEES (63%); DATA PROCESSING SUPPLIES (13%); CAPITAL PURCHASED EQUIPMENT (12%); SUPPLIES + MATERIALS - GENERAL (12%); CONTRACTUAL SERVICES GENERAL (0%),0.0
LIRO GIS INC,Digital,Department of Information Technology and Telecommunications,"GIS and IT consulting for government, web application development, geospatial services",1,0,0,0,85732,432588,543786,477719,407074,378840,600202,"0711 (100%, PUBLIC SAFETY IT SERVICES)",PROF SERV OTHER (100%),0.0
DEBRA D JOHNSON,Digital,Department of Environmental Protection; Department of Information Technology and Telecommunications; Department of Small Business Services,DBA Hill Data Management. Microsoft Premier Service subscriptions for government.,3,0,0,0,39998,136087,243688,303065,174138,364914,421038,"MSME (78%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 8811 (16%, MYCITY PROJECT); 1306 (1%, DISCRETIONARY MANAGEMENT)",CAPITAL PURCHASED EQUIPMENT (78%); PROF SERV COMPUTER SERVICES (16%); PROF SERV OTHER (1%),16.0
"Radiant Resources, Inc",Digital,Department of City Planning; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; SCHOOL CONSTRUCTION AUTHORITY,"IT services for public clients, cybersecurity, cloud, infrastructure",3,0,19838,0,670505,842365,242926,496744,2475485,360666,781405,"E707 (50%, 040 E-2366); E706 (23%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 1300 (18%, NYC CYBER COMMAND); 3001 (3%, BOROUGH OFFICES (CDBG)); 0300 (3%, AGENCYWIDE OTPS - GENERAL); 1150 (2%, INFORMATION TECHNOLOGY)",ADMINISTRATIVE EXPENSES (73%); PROF SERV COMPUTER SERVICES (18%); DATA PROCESSING EQUIPMENT MAINTENANCE (9%),18.0
STRATFORD SOLUTIONS INC,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,"M/WBE IT staffing and consulting for government, commercial IT solutions",2,0,0,0,0,0,0,0,0,360572,1645681,"NGEN (51%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); FDT1 (14%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); MSME (14%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); 0711 (13%, PUBLIC SAFETY IT SERVICES); 1300 (5%, NYC CYBER COMMAND); 8811 (2%, MYCITY PROJECT)",CAPITAL PURCHASED EQUIPMENT (80%); PROF SERV COMPUTER SERVICES (18%); PROF SERV OTHER (2%),18.0
CAPSTONE STRATEGY GROUP LLC,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications; NYC Taxi and Limousine Commission,"Business transformation and technology consulting for government, digital transformation services",2,102688,129112,25000,90600,84900,369522,266440,0,355091,413180,"MSME (52%, OTI: MYCITY APPLICATION DEVELOPMENT INCL); CONC (32%, TLC CONNECT UPGRADE, PROFESSIONAL SERVIC); 0201 (11%, EXECUTIVE AND ADMINISTRATIVE); 8811 (5%, MYCITY PROJECT)",CAPITAL PURCHASED EQUIPMENT (52%); SPLIT FUNDED SBITA (32%); PROF SERV OTHER (16%),0.0
SOFTWARE PEOPLE INC,Digital,Department of Information Technology and Telecommunications; Department of Transportation; SCHOOL CONSTRUCTION AUTHORITY,"Software consulting: systems integration, ERP, CRM, data warehousing, custom app development",3,0,0,0,203556,260786,11592,186898,958711,354737,584768,"1201 (26%, MANAGEMENT INFO SYSTEMS); 3131 (24%, APPLICATIONS); 806K (15%, DOT, CITY-WIDE: DESIGN, DEVELOPMENT, & I); CON5 (12%, 040 SSBA-CC); 806L (9%, DOT: NYCSTREETS PAVEMENTWORKS 2.0 SOFTWA); 4147 (6%, PARKING AND METER COLLECTIONS); 4181 (6%, TRAFFIC INTELLIGENCE DIVISION); 4140 (2%, PARKING AND METER COLLECTIONS)",PROF SERV COMPUTER SERVICES (64%); CAPITAL PURCHASED EQUIPMENT (24%); CONSTRUCTION-BUILDINGS (12%),64.0
SATURN BUSINESS SYSTEMS INC,Digital,City Council; Department of Finance; Department of Information Technology and Telecommunications,"Data center, cloud, analytics, cybersecurity solutions",3,0,11035,0,64731,152406,77190,469285,2098719,350541,324258,"3950 (73%, IT SERVICE MANAGEMENT); 1409 (25%, INFORMATION SECURITY); 2001 (1%, OTPS CENTRAL STAFF)",DATA PROCESSING EQUIPMENT MAINTENANCE (73%); OTHR SERV AND CHRGS-GENERAL (25%); DATA PROCESSING SUPPLIES (1%),0.0
DMK Partnership LLC,Digital,Department of Information Technology and Telecommunications,"IT management solutions, service desk, asset management",1,465350,497100,532000,289000,330955,344940,363345,344940,344940,344940,"3510 (100%, TELECOM OPERATION)",CONTRACTUAL SERVICES GENERAL (100%),0.0
INTRADO LIFE & SAFETY INC,Digital,Department of Information Technology and Telecommunications,"911 emergency systems, public safety software, PSAP solutions",1,0,0,0,0,0,75000,168125,331500,331500,338975,"0711 (100%, PUBLIC SAFETY IT SERVICES)",DATA PROCESSING EQUIPMENT MAINTENANCE (81%); CONTRACTUAL SERVICES GENERAL (19%),0.0
AMMALUIT CORP,Digital,Department of Citywide Administrative Services; Department of Information Technology and Telecommunications,"IT services to federal government: cybersecurity, web development, BPO",2,0,0,0,0,0,0,0,0,313320,710846,"NGEN (41%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 3400 (21%, IU - NETWORK OPERATIONS); FDT1 (19%, OFFICE OF TECHNOLOGY AND INNOVATION (CIT); 0711 (19%, PUBLIC SAFETY IT SERVICES)",CAPITAL PURCHASED EQUIPMENT (60%); PROF SERV COMPUTER SERVICES (40%),40.0
CTG INC,Digital,Department of Information Technology and Telecommunications,"IT services for government: cloud, application development, cybersecurity",1,1510517,1241641,832881,517944,829397,678010,298900,258475,300825,255500,"5200 (100%, TELECOM SERVICES - I/C)",PROF SERV OTHER (100%),0.0
ELECTRIFAI LLC,Digital,Department of Information Technology and Telecommunications,AI/ML models and data transformation with GSA contract,1,0,0,0,0,0,0,0,0,281500,0,,,
IDESCO CORPORATION,Mixed,Administration for Children's Services; City Council; City University of New York; Department of Buildings; Department of Design and Construction; Department of Education; Department of Emergency Management; Department of Health and Mental Hygiene; Department of Parks and Recreation; Department of Small Business Services; Department of Social Services; Police Department; SCHOOL CONSTRUCTION AUTHORITY,"Physical security with digital components: access control, biometrics, video surveillance",28,1118268,567815,409158,616384,447270,454202,217829,247060,235820,259419,"5101 (46%, PERSONNEL BUREAU ID CARD); 5001 (11%, PERSONNEL BUREAU); 6500 (6%, FACILITY SERVICES); 2411 (5%, LICENSE DIVISION); 9911 (5%, DSS AGENCYWIDE AOTPS); 6600 (5%, MANHATTAN COMMUNITY COLLEGE); 1110 (4%, ADMINISTRATION); 0203 (3%, SECURITY); 6823 (3%, INFORMATION TECHNOLOGY); 2983 (2%, 23 UASI CERT)",SUPPLIES + MATERIALS - GENERAL (71%); DATA PROCESSING EQUIPMENT MAINTENANCE (9%); PURCH DATA PROCESSING EQUIPT (8%); SECURITY EQUIPMENT (4%); PRINTING CONTRACTS (3%); MAINT & REP GENERAL (2%); PRINTING SUPPLIES (1%); ADMINISTRATIVE EXPENSES (1%); OFFICE EQUIPMENT (1%); PROF SERV OTHER (1%),0.0
HD MADE Inc.,Digital,Department of Information Technology and Telecommunications,"Digital creative agency: digital strategy, design, development",2,0,0,0,0,25163,24337,193600,123449,224806,92700,"3161 (100%, OPERATIONS)",CONTRACTUAL SERVICES GENERAL (100%),0.0
MILLENNIUM INFO TECH INC,Digital,Department of Citywide Administrative Services,"IT consulting, staffing, product engineering (est. 2002). GovTech focus. Application development, DevOps, cloud enablement.",2,0,0,0,0,20000,241800,83304,6860,222660,1310295,"NGEN (100%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG)",CAPITAL PURCHASED EQUIPMENT (100%),0.0
INFOJINI INC,Digital,Department of Citywide Administrative Services; Department of Transportation,IT services to 400+ government clients across 45 states,3,0,0,0,0,0,0,0,150640,207675,243053,"806K (46%, DOT, CITY-WIDE: DESIGN, DEVELOPMENT, & I); 1290 (21%, DCAS IT); 2003 (20%, RRM VENDOR ASPHALT AND SUPPORT); 2166 (10%, ARTERIAL HIGHWAY MAINTENANCE); 4181 (3%, TRAFFIC INTELLIGENCE DIVISION)",PROF SERV COMPUTER SERVICES (54%); CAPITAL PURCHASED EQUIPMENT (46%),54.0
RNSC Technologies LLC,Digital,Department of Education; Department of Information Technology and Telecommunications; Police Department,"Cybersecurity and IT services, SDVOSB",2,0,0,0,0,0,0,0,0,183811,302983,"0711 (65%, PUBLIC SAFETY IT SERVICES); 4601 (29%, MANAGEMENT INFORMATION SYSTEMS); 8843 (4%, REIMBURSEABLE SUPPORT-GE INST ELE/MID/HS); 4305 (2%, INSTRUCTIONAL SUPPORT SERV - ELEM / MID)",DATA PROCESSING EQUIPMENT MAINTENANCE (78%); PROF SERV OTHER (13%); SUPPLIES + MATERIALS - GENERAL (9%); PROMPT PAYMENT INTEREST (0%),0.0
American Software LLC,Digital,Department of Information Technology and Telecommunications,"IT services to federal, state, local government",1,0,0,0,0,0,0,0,341932,155969,0,,,
VERIZON NEW YORK INC,Mixed,Borough President - Staten Island; City Council; City University of New York; Commission on Human Rights; Department of Buildings; Department of Correction; Department of Information Technology and Telecommunications; Department of Sanitation; Mayoralty; Miscellaneous; Public Administrator-Richmond County; SCHOOL CONSTRUCTION AUTHORITY,Telecommunications with government IT/digital services contracts,23,16582885,12612062,34878924,14419222,1019368,273045,10709152,7394007,150454,1217055,"2007 (89%, SPECIAL RESERVES); E706 (6%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 6800 (2%, HOSTOS COMMUNITY COLLEGE); E707 (1%, 040 E-2366); 6500 (1%, KINGSBOROUGH COMM COLLEGE); 6300 (0%, BRONX COMMUNITY COLLEGE); 0102 (0%, ADMINISTRATION); 0406 (0%, OTPS-OMB); 5116 (0%, TELECOMMUNICATIONS & FACILITIES); 0350 (0%, LAW ENFORCEMENT BUREAU)",JUDGMENTS AND CLAIMS-NOT REPORTABLE (89%); CONSTRUCTION-BUILDINGS (6%); TELEPHONE & OTHER COMMUNICATNS (3%); ADMINISTRATIVE EXPENSES (1%); TELECOMMUNICATIONS MAINT (0%); AUTOMOTIVE SUPPLIES & MATERIAL (0%); OFF SVC-MEMBERSHIP DUES & FEES (0%); DATA PROCESSING SUPPLIES (0%); SUPPLIES + MATERIALS - GENERAL (0%); PURCH DATA PROCESSING EQUIPT (0%),0.0
"Windstream Holdings, Inc.",Mixed,Department of Information Technology and Telecommunications,Telecommunications with government IT services,2,3246,35771,25259,35085,108749,292789,464472,358258,130337,84831,"5200 (90%, TELECOM SERVICES - I/C); 1300 (10%, NYC CYBER COMMAND); 8237 (0%, MOCJ - ECOLOGY OF JUSTICE)",TELEPHONE & OTHER COMMUNICATNS (100%),0.0
THE INSTITUTE FOR APPLIED NETWORK SECURITY LLC,Digital,Department of Information Technology and Telecommunications; Police Department,Cybersecurity consulting with GSA and Texas DIR contracts,2,0,0,4995,33333,36111,33333,77055,72270,128770,138995,"1300 (55%, NYC CYBER COMMAND); 4601 (45%, MANAGEMENT INFORMATION SYSTEMS)",DATA PROCESSING EQUIPMENT MAINTENANCE (95%); EXPENSE ONLY FUNDED SBITA (5%),5.0
GIOIA P AMBRETTE INC,Mixed,Department of Information Technology and Telecommunications; Office of the Comptroller,VoIP and unified communications systems integrator (Newcastle Communications),4,80372,48965,49222,26610,0,20530,81893,77810,95999,88714,"3350 (60%, IT OPERATION); 0702 (22%, INFORMATION SYSTEMS); 3510 (18%, TELECOM OPERATION)",DATA PROCESSING EQUIPMENT MAINTENANCE (78%); DATA PROCESSING SUPPLIES (22%),0.0
LEIDOS DIGITAL SOLUTIONS INC,Digital,City Council; Department of Buildings; Department of Education; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Department of Parks and Recreation; Office of the Comptroller,"Major government IT contractor, Intranet Quorum platform",14,0,166324,173644,283496,317406,333445,166679,139984,90062,87758,"8100 (35%, CITYWIDE SUPPORT); 1140 (27%, EXTERNAL AFFAIRS); 5111 (12%, INFORMATION TECHNOLOGY (IT)); 8401 (9%, MHY ADMIN - NON-VOLUNTARY EXP); 6823 (7%, INFORMATION TECHNOLOGY); 2001 (5%, OTPS CENTRAL STAFF); 0702 (3%, INFORMATION SYSTEMS); 7205 (1%, OFFICE OF PUBLIC AFFAIRS)",DATA PROCESSING EQUIPMENT MAINTENANCE (47%); DATA PROCESSING SUPPLIES (33%); MAINT & REP GENERAL (7%); CONTRACTUAL SERVICES GENERAL (7%); PROF SERV COMPUTER SERVICES (5%); SUPPLIES + MATERIALS - GENERAL (1%); PROF SERV OTHER (0%),5.0
SANGHI CONSUTING INC,Digital,Department of Information Technology and Telecommunications,IT consulting exclusively for NYS public sector,1,0,0,0,0,0,83420,87599,91982,80000,84000,"0391 (100%, ADMINISTRATION SUPPORT)",OTHR SERV AND CHRGS-GENERAL (100%),0.0
Evergreen Technologies LLC,Digital,Department of Citywide Administrative Services; Department of Education; Department of Information Technology and Telecommunications; SCHOOL CONSTRUCTION AUTHORITY,"IT staffing and consulting agency. Network, internet, computer services, staff augmentation, IT project consulting.",3,0,0,0,0,0,0,0,0,63863,1769362,"NGEN (50%, DOITT: NEXT GENERATION 9-1-1 PROGRAM (NG); 0711 (15%, PUBLIC SAFETY IT SERVICES); 7719 (12%, DIIT); E706 (12%, IMPLEMENTATION OF THE SEVENTH FIVE-YEAR); 1387 (5%, 21 UASI - THREAT MODELING INTEGRATION); 8100 (3%, CITYWIDE SUPPORT); 1300 (2%, NYC CYBER COMMAND)",CAPITAL PURCHASED EQUIPMENT (50%); PROF SERV COMPUTER SERVICES (19%); CONTRACTUAL SERVICES GENERAL (15%); CONSTRUCTION-BUILDINGS (12%); PROF SERV OTHER (3%),19.0
ALTECH ELECTRONICS INC,Mixed,Administration for Children's Services; City University of New York; Department of Emergency Management; Police Department; Public Advocate,Motorola two-way wireless communications for NYC agencies,26,42811,33393,28113,60031,23824,13877,55332,46529,63122,48326,"6500 (37%, KINGSBOROUGH COMM COLLEGE); 0101 (11%, EXEC MGMT & ADMIN); 1600 (11%, DIRECT FOSTER CARE); 0205 (11%, OPERATIONS); 6300 (7%, BRONX COMMUNITY COLLEGE); 6200 (7%, NEW COMMUNITY COLLEGE); 6400 (6%, QUEENSBOROUGH COMM COLLEGE); 1701 (5%, DETECTIVE BUREAU); 2633 (5%, FY21 URBAN SEARCH & RESCUE)",SECURITY EQUIPMENT (49%); MOTOR VEHICLES (11%); CHILD WELFARE SERVICES (11%); PROF SERV OTHER (11%); EQUIPMENT GENERAL (10%); AUTOMOTIVE SUPPLIES & MATERIAL (7%); SUPPLIES + MATERIALS - GENERAL (1%); TRANSPORTATION EXPENDITURES (0%),0.0
PK WARE INC,Digital,Department of Information Technology and Telecommunications,Enterprise data encryption software with government solutions,1,86570,60075,60075,60075,80487,62991,62991,62991,62991,62991,"3200 (52%, IU - MAINFRAME); 3204 (48%, IU MAINFRAME - I/C)",DATA PROCESSING EQUIPMENT MAINTENANCE (100%),0.0
CONSULTING-PORTAL INC,Digital,Department of Finance; Department of Information Technology and Telecommunications; Department of Social Services,Navvia Process Designer - ITSM/BPM SaaS platform,3,0,0,20000,20886,60272,63277,35780,83163,62540,62658,"0104 (38%, MANAGEMENT INFORMATION SERVICE); 9912 (32%, MANAGEMENT INFORMATION SYSTEMS); 3950 (30%, IT SERVICE MANAGEMENT)",MAINT & REP GENERAL (38%); BOOKS-OTHER (32%); OTHR SERV AND CHRGS-GENERAL (30%),0.0
VITAC,Mixed,Department of Information Technology and Telecommunications,Captioning/accessibility services for government,1,0,0,57172,170385,158550,84568,65279,110978,61115,29753,"9010 (100%, NYC TV)",CONTRACTUAL SERVICES GENERAL (99%); OTHR SERV AND CHRGS-GENERAL (1%),0.0
TOTALCAPTION LLC,Mixed,Board of Correction; Board of Elections; Department of Citywide Administrative Services; Department of Health and Mental Hygiene; Department of Information Technology and Telecommunications; Mayoralty,CART captioning/accessibility for government meetings,6,0,1950,6431,52188,54717,65908,35845,12306,44321,95684,"0101 (81%, EXEC/ADMIN STAFF); 1093 (13%, VARIOUS PROJECTS); 8600 (2%, CIVIC ENGAGEMENT COMMISSION); 0201 (2%, DEPARTMENTAL OPERATIONS); 0264 (1%, NYC SERVICE OFFICE); 1140 (1%, EXTERNAL AFFAIRS); 0211 (0%, CHIEF OF STAFF)",CONTRACTUAL SERVICES GENERAL (85%); TEMPORARY SERVICES (14%); PROF SERV OTHER (1%),0.0
PRINCETECH INCORPORATED,Digital,Department of Cultural Affairs; Police Department,"DevSecOps, cybersecurity, database admin for government",1,0,0,0,0,0,0,0,0,40286,545952,"1875 (39%, FY21 INTERNET CRIMES AGAINST CHILDREN); 293A (35%, BRONX COUNTY HISTORICAL SOCIETY (CIG) 33); 993B (18%, MOVEMENT RESEARCH, INC. (NFP), 150 FIRST); 993A (7%, MOVEMENT RESEARCH, INC. (NFP), 150 FIRST); 0135 (0%, FINANCE AND ADMINISTRAT)",CAPITAL PURCHASED EQUIPMENT (61%); DATA PROCESSING EQUIPMENT MAINTENANCE (39%); PROMPT PAYMENT INTEREST (0%),0.0
Encompass Digital Media,Mixed,Department of Information Technology and Telecommunications,Video broadcasting infrastructure with GSA contract for government,1,39700,42150,49550,25536,25170,18740,26370,17490,20590,14370,"9010 (100%, NYC TV)",TELEPHONE & OTHER COMMUNICATNS (100%),0.0
SLALOM INC,Digital,Department of Information Technology and Telecommunications,IT consulting for federal and state government,1,0,0,0,0,0,0,0,0,20000,0,,,
REV LLC,Digital,Department of Information Technology and Telecommunications,Transcription and captioning services for government applications,1,0,0,0,0,0,0,0,514950,19950,0,,,
STORAGE ENGINE INC,Digital,Administration for Children's Services; Department of Information Technology and Telecommunications,"Secure data storage solutions for government, DoD Facility Cleared",1,228143,283195,149285,158354,18356,99598,18036,113842,19950,102591,"6633 (81%, MANAGEMENT INFORMATION SYSTEM); 8100 (19%, CITYWIDE SUPPORT)",DATA PROCESSING EQUIPMENT MAINTENANCE (74%); OTHR SERV AND CHRGS-GENERAL (26%),0.0
CFI GROUP USA LLC,Mixed,Department of Information Technology and Telecommunications,Customer satisfaction measurement for 311,1,0,0,0,0,0,0,19700,19696,19696,19696,"1101 (100%, 311 - CITY)",OTHR SERV AND CHRGS-GENERAL (100%); <Non-Applicable Expenditure Object> (-0%),0.0
PAMTEN INC,Digital,Department of Information Technology and Telecommunications,IT services and computer consulting for government.,1,0,0,0,0,0,0,0,171470,18200,18675,"0711 (92%, PUBLIC SAFETY IT SERVICES); 8100 (8%, CITYWIDE SUPPORT)",CONTRACTUAL SERVICES GENERAL (92%); PROF SERV OTHER (8%),0.0
SHODAN LLC,Digital,Department of Information Technology and Telecommunications,"Cybersecurity search engine for vulnerability scanning. Scans internet-connected devices, used by security professionals.",1,0,0,0,0,0,9889,9889,0,12082,12086,"1300 (100%, NYC CYBER COMMAND)",DATA PROCESSING EQUIPMENT MAINTENANCE (100%); <Non-Applicable Expenditure Object> (-0%),0.0
RESULTANT LLC,Digital,Department of Information Technology and Telecommunications,"Modern IT consulting firm - data analytics, digital transformation, cybersecurity, cloud services. Public sector focus.",1,0,0,0,0,0,0,2750,0,1746,20696,"3130 (96%, ADM - MAINTENANCE AND SUPPORT); 1300 (4%, NYC CYBER COMMAND)",DATA PROCESSING EQUIPMENT MAINTENANCE (96%); OTHR SERV AND CHRGS-GENERAL (4%); <Non-Applicable Expenditure Object> (-0%),0.0
